code	ko	ja	en	tc	sc
146	70레벨에 개방	70レベルで解放	Unlocked at Lv. 70	在70等級開放	在70等级开放
147	80레벨에 개방	80レベルで解放	Unlocked at Lv. 80	在80等級開放	在80等级开放
148	90레벨에 개방	90レベルで解放	Unlocked at Lv. 90	在90等級開放	在90等级开放
149	해당 장비는 탐사 중이거나 자동 전투 중인 전투원이 착용하고 있는 장비입니다.	該当の装備は探索中か自動戦闘中の戦闘員が着用している装備です。	Selected item is currently in use for Exploration or is equipped by a soldier in auto combat.	該裝備是正在進行探查或自動戰鬥中的戰鬥員所配戴的裝備。	这件装备是正在进行探查或自动战斗中的战斗员所佩戴的装备。
150	해당 pc는 탐색중입니다.	該当のpcは探索中です。	Selected PC is currently in the middle of Exploration.	該pc正在探索中。	此pc正在探索中。
151	탐색중에는 아이템시스템을 이용할 수 없습니다.	探索中にはアイテムシステムを利用できません。	You cannot use the Item System while Exploring.	進行探索時無法使用道具系統。	进行探索时无法使用道具系统。
152	탐색중에는 코어시스템을 이용할 수 없습니다.	探索中にはコアシステムを利用できません。	You cannot use the Core System while Exploring.	進行探索時無法使用核心系統。	进行探索时无法使用核心系统。
153	요구 전투력	推奨戦闘力	Required Combat Power	所需戰鬥力	所需战斗力
154	"B급 장비
모두 선택"	"B級装備
 全て選択"	"Grade B Gear
Select All"	"B級裝備
全選"	"B级装备
全选"
155	결정	決定	Confirm	確定	决定
156	먼저 강화할 장비를 장착해 주세요.	先に強化する装備を選択してください。	Equip the item you want to upgrade first.	請先配戴要強化的裝備。	请先选择要强化的装备。
157	전투원 제작	戦闘員製作	Create Soldier	製造戰鬥員	制作战斗员
158	전투원 강화	戦闘員強化	Upgrade Soldier	強化戰鬥員	强化战斗员
159	장비 제작	装備製作	Create Gear	製造裝備	制作装备
160	장비 강화	装備強化	Upgrade Gear	裝備強化	装备强化
161	강화 수치	強化数値	Upgrade Values	強化數值	强化数值
162	사용 자원	使用資源	Used Resource	使用資源	使用资源
163	강화할 아이템이 없습니다.	強化するアイテムがありません。	You have no item to upgrade.	目前沒有可強化的道具。	目前没有可强化的道具。
164	재료 아이템이 없습니다.	材料アイテムがありません。	You have no material items.	目前沒有材料道具。	目前没有材料道具。
165	장비	装備部品	Gear	裝備	装备
166	강화 불가! 자원 부족	強化不可!資源不足	Cannot upgrade! Not enough resources.	無法強化！資源不足	无法强化！资源不足
167	"이 강화를 진행하기 위한 자원이 부족합니다.
자원 구매를 위해 상점으로 이동하시겠습니까?"	"この強化を行うための資源が不足しています。
 資源を購入するためショップへ移動しますか?"	"You do not have enough resources to upgrade.
Do you want to go to the Shop to purchase resources?"	"此強化所需的資源不足。
是否移動至商店購買資源？"	"此强化所需的资源不足。
是否前往商店购买资源？"
168	취소	キャンセル	Cancel	取消	取消
169	상점열기	ショップを開く	Open Shop	開啟商店	打开商店
170	제조 완료	製造完了	Crafting Complete	製造完成	制造完成
171	제조 시작	製造開始	Start Crafting	開始製造	开始制造
172	즉시 완성	即時完了	Complete Instantly	立即完成	立即完成
173	"장비제작을 진행하기 위한 자원이 부족합니다.
자원 구매를 위해 상점으로 이동하시겠습니까?"	"装備製作を行うための資源が不足しています。
 資源を購入するためショップに移動しますか?"	"You do not have enough resources to create gear.
Do you want to go to the Shop to purchase resources?"	"製造裝備所需的資源不足。
是否移動至商店購買資源？"	"制作装备所需的资源不足。
是否前往商店购买资源？"
174	장비 제작 불가! 자원 부족	装備製作不可!資源不足	Cannot create gear! Not enough resources.	無法製造裝備！資源不足	无法制作装备！资源不足
175	전투 장비 코어 부족!	戦闘装備コア不足!	Not enough Combat Gear Cores!	戰鬥裝備核心不足！	战斗装备核心不足！
176	"전투 장비 코어가 부족합니다.
(장비 제작을 위해서는 전투 장비 코어를 구입해야 합니다.)"	"戦闘装備コアが不足しています。
 (装備製作のためには戦闘装備コアを購入する必要があります。)"	"You do not have enough Combat Gear Cores.
(You must buy Combat Gear Cores to create gear.)"	"戰鬥裝備核心不足。
（必須購買戰鬥裝備核心才能製造裝備。）"	"你的战斗装备核心不足。
（必须购买战斗装备核心才能制作装备。）"
177	AI 코어 부족!	AIコア不足！	Not enough AI Cores!	AI核心不足！	AI核心不足！
178	"AI 코어가 부족합니다.
(로롯 제작을 위해서는 AI 코어를 구입해야 합니다.)"	"AIコアが不足しています。
 (ロボット製作のためにはAIコアを購入する必要があります。)"	"You do not have enough AI Cores.
(You must buy AI Cores to create Robots.)"	"AI核心不足。
（必須購買AI核心才能製造機器人。）"	"你的AI核心不足。
（必须购买AI核心才能制作机器人。）"
179	전투원 제작	戦闘員製作	Create Soldier	製造戰鬥員	制作战斗员
180	"제작을 즉시 완성 하시겠습니까?
(즉시 완성에는 제조권이 필요합니다.)"	"製作を即時完了させますか?
 (即時完了には急速完成回路が必要です。)"	"Do you want to complete creation instantly?
(You need Crafting Tickets to instantly finish creating.)"	"是否要立即完成製造？
（需要製造券才可立即完成。）"	"是否要立即完成制作？
（立即完成需要制造券。）"
181	급속 완성 회로 부족!	急速完成回路不足！	Not enough Rapid Completion Circuit!	速成迴路不足！	速成电路不足！
182	"급속 완성 회로가 부족합니다.
(급속 완성을 위해 제조권을 구입해야 합니다.)"	"急速完成回路が不足しています。
 (急速完成のためには急速完成回路を購入する必要があります。)"	"You do not have enough Rapid Completion Circuits.
(You must buy Crafting Tickets to instantly finish creating.)"	"速成迴路不足。
（必須購買製造券才能速成。）"	"你的速成电路不足。
（必须购买制造券才能速成。）"
183	유전자 씨앗 부족!	遺伝子の種不足！	Not enough Genetic Seeds!	基因種子不足！	基因种子不足！
184	"유전자 씨앗이 부족합니다.
(바이오로이드 제작을 위해서는 유전자 씨앗을 구입해야 합니다.)"	"遺伝子の種が不足しています。
 (バイオロイド製作のためには遺伝子の種を購入する必要があります。)"	"You do not have enough Genetic Seeds.
(You must buy Genetic Seeds to create Bioroids.)"	"基因種子不足。
（必須購買基因種子才能製造生化人。）"	"你的基因种子不足。
（必须购买基因种子才制作生化人。）"
185	"전투원제작을 진행하기 위한 자원이 부족합니다.
자원 구매를 위해 상점으로 이동하시겠습니까?"	"戦闘員製作を行うための資源が不足しています。
 資源を購入するためショップに移動しますか？"	"You do not have enough resources to create a soldier.
Do you want to go to the Shop to purchase resources?"	"製造戰鬥員所需的資源不足。
是否移動至商店購買資源？"	"制作战斗员所需的资源不足。
是否前往商店购买资源？"
186	숙소 부족	ハウスのキャパシティ不足	Not enough Barrack space.	宿舍不足	宿舍不足
187	"캐릭터의 숙소가 꽉 찼습니다.
숙소를 확장 하시겠습니까?"	"戦闘員ーのハウスがいっぱいです。
 ハウスを拡張しますか?"	"The Barrack is full.
Do you want to increase Barrack space?"	"角色的宿舍已滿。
是否擴張宿舍？"	"角色的宿舍已满。
是否扩张宿舍？"
188	전투원제작 불가! 자원 부족	戦闘員製作不可！資源不足	Cannot create soldier! Not enough resources.	無法製造戰鬥員！資源不足	无法制作战斗员！资源不足
189	{0} 스테이지를 클리어하시면 해금됩니다.	{0}エピソードをクリアすると解禁されます。	Unlocked after clearing\nStage {0}.	通關{0}關卡時解鎖。	通过{0}关卡时解锁。
190	캐릭터 상세	戦闘員詳細	Character Details	角色詳情	角色详情
191	스킬 경험치	スキル経験値	Skill EXP	技能經驗值	技能经验值
192	레벨{0} 활성화	レベル{0}アクティブ化	Activate Lv. {0}	啟用{0}等級	启用{0}等级
193	기본	基本	Basic	基本	基本
194	주의	注意	Caution	注意	注意
195	"[c][FFA820FF]코어 링크를 할 경우, 코어를 해제하기 위해서는 코어 링크 해제기가 필요합니다.
코어 링크를 하시겠습니까?[-][/c]"	"[c][FFA820FF]コアリンクをする場合、コアリンクを解除するためにはリンク解除機が必要です。
 コアリンクを実行しますか？[-][/c]"	"[c][FFA820FF]If you link the Core, you will need a Link Remover to unlink the Core.
Do you want to link the Core?[-][/c]
"	"[c][FFA820FF]進行核心連結後，解除核心需要核心連結解除裝置。
是否進行核心連結？[-][/c]"	"[c][FFA820FF]进行核心链接后，解除核心需要核心链接解除装置。
是否进行核心链接？[-][/c]"
196	코어 링크 해제	コアリンク解除	Unlink Core	解除核心連結	解除核心链接
197	이 코어 링크를 해제하기 위해서는 링크 해제기가 소모됩니다.	このコアリンクを解除するとリンク解除機が消費されます。	A Link Remover will be used to unlink this Core.	解除此核心連結將消耗連結解除裝置。	解除此核心链接将消耗链接解除装置。
198	링크 해제기 부족	リンク解除機不足	Not enough Link Removers.	連結解除裝置不足	链接解除装置不足
199	"코어 링크를 해제할 링크 해제기가 부족합니다!
(링크 해제를 위해서는 링크 해제기를 상점에서 구입해야 합니다.)"	"コアリンクを解除するリンク解除機が不足しています！
 (リンク解除のためにはリンク解除機をショップで購入する必要があります。)"	"You do not have enough Link Removers to unlink the Core.
(You must buy Link Removers from the Shop to unlink the Core.)"	"用來解除核心連結的連結解除裝置不足！
（必須在商店購買連結解除裝置才能解除連結。）"	"用来解除核心链接的链接解除装置不足！
（必须在商店购买链接解除装置才能解除链接。）"
200	코어 링크	コアリンク	Link Core	核心連結	核心链接
201	경장	軽装	Light Armor	輕裝	轻装
202	중장	重装	Heavy Armor	重裝	重装
203	기동	機動	Mobility	機動	机动
204	보호기	保護機	Protector	保護機	保护机
205	공격기	攻撃機	Attacker	攻擊機	攻击机
206	지원기	支援機	Supporter	支援機	支援机
207	다른 전투원이 장착한 코어	他の戦闘員が装着したコア	Core equipped by another soldier	其他戰鬥員所配戴的核心	其他战斗员所佩戴的核心
208	"다른 전투원이 장착한 코어 해제를 위해서는 코어 링크 해제기가 필요합니다.
기존 링크를 해제해 장착하시겠습니까?"	"他の戦闘員が装着したコアの解除のためにはコアリンク解除機が必要です。
 既存のリンクを解除して装着しますか？"	"You need a Link Remover to unlink a Core equipped by another soldier.
Do you want to unlink the current link and equip the Core?"	"為了解除其他戰鬥員所配戴的核心，需要核心連結解除裝置。
是否解除當前的連結來配戴？"	"为了解除其他战斗员所佩戴的核心，需要核心链接解除装置。
是否解除当前的链接来佩戴？"
209	코어 링크 불가	コアリンク不可	Cannot link Core	無法連結核心	无法链接核心
210	이 코어를 장착한 전투원은 현재 임무 중입니다.	このコアを装着した戦闘員は現在任務中です。	The soldier equipped with this Core is currently on a mission.	配戴此核心的戰鬥員正在執行任務。	佩戴此核心的战斗员正在执行任务。
211	스쿼드 정원 초과	分隊の定員オーバー	Squad Capacity Exceeded	小隊超員	小队超员
212	더 이상 전투원을 배치할 수 없습니다.	これ以上戦闘員を配置できません。	You cannot assign any more soldiers to the Squad.	無法配置更多戰鬥員。	无法部署更多战斗员。
213	(링크 해제기 총 보유 수 {0}개)	(リンク解除機総保有数{0}個)	(Link Remover Owned: {0})	（總共持有{0}個連結解除裝置）	（总共持有{0}个链接解除装置）
214	제작 할 유닛이 없습니다.	製作するユニットがありません。	You have no Unit to create.	目前沒有可製造的單位。	目前没有可制作的单位。
215	다음 레벨 정보	次のレベルの情報	Next Level Info	下一等級資訊	下一等级信息
216	[c][FFFFFF7D]피해량[-][/c]	[c][FFFFFF7D]ダメージ量[-][/c]	[c][FFFFFF7D]Damage[-][/c]	[c][FFFFFF7D]傷害量[-][/c]	[c][FFFFFF7D]伤害量[-][/c]
217	[c][FFFFFF7D]효과[-][/c]	[c][FFFFFF7D]効果[-][/c]	[c][FFFFFF7D]Effect[-][/c]	[c][FFFFFF7D]效果[-][/c]	[c][FFFFFF7D]效果[-][/c]
218	쿨 다운	クールダウン	Cool Down	冷卻	冷却
219	증가	増加	Increase	增加	增加
220	"{0}의 스킬 {1}의 레벨이 {2}이 되었습니다.
[url={3}][c][c68115][상세확인][-][/c][/url]"	"{0}のスキル{1}のレベルが{2}になりました。
 [url={3}][c][c68115][詳細確認][-][/c][/url]"	"{0}’s {1} Skill became Lv. {2}.
[url={3}][c][c68115][Details][-][/c][/url]"	"{0}的技能{1}的等級升為{2}。
[url={3}][c][c68115]【查看詳情】[-][/c][/url]"	"{0}的技能{1}的等级升为{2}级。
[url={3}][c][c68115]【查看详情】[-][/c][/url]"
221	{0}차 전투	{0}次戦闘	Combat Count: {0}	第{0}次戰鬥	第{0}次战斗
222	[상세확인]	[詳細確認]	[Details]	【查看詳情】	【查看详情】
223	경고	警告	Warning	警告	警告
224	"해당 재료는 강화가 되어있는 아이템 입니다.
정말 재료로 사용하시겠습니까?"	"強化済みの装備が選択されています。
 本当に材料として使用しますか?"	"You have selected an upgraded material.
Do you still want to use it as a material?"	"此材料已被強化。
是否確定用作材料？"	"此材料是已经被强化的道具。
是否确定要用作材料？"
225	업데이트 예정입니다.	アップデート予定です。	There will be an update soon.	即將更新。	即将更新。
226	강화할 전투원 필요	強化する戦闘員が必要	Soldier for upgrade required.	需要欲強化的戰鬥員	需要待强化的战斗员
227	먼저 강화할 전투원을 선택해 주세요.	先に強化する戦闘員を選択してください。	Select the soldier you want to upgrade first.	請先選擇要強化的戰鬥員。	请先选择待强化的战斗员。
228	회로 제공 전투원 필요	回路サポート戦闘員が必要	Circuit Material Soldier required	需要提供迴路的戰鬥員	需要提供电路的战斗员
229	전투원을 강화하기 위해서는 회로를 제공할 재료 전투원이 필요합니다.	戦闘員を強化するためには回路をサポートする材料戦闘員が必要です。	You need a material soldier to provide Circuits to upgrade a soldier.	為了強化戰鬥員，需要提供迴路的材料戰鬥員。	为了强化战斗员，需要提供电路的材料战斗员。
230	주의! 강화 회로 제거!	注意！強化回路除去！	Caution! Remove Upgrade Circuit!	注意！清除強化迴路！	注意！清除强化电路！
231	"강화를 리셋할 경우,
모든 강화 스탯이 초기화되고 강화 가능 회수를 되돌려 받게 됩니다.
강화를 리셋 하시겠습니까?"	"強化をリセットする場合、
 全ての強化ステータスが初期化され強化可能回数が戻されます。
 強化をリセットしますか？"	"When you reset the upgrade,
all upgrade stats will be reset and your available upgrade count will be restored.
Do you want to reset the upgrade?"	"若重置強化，
所有強化數值將被重置，並歸還可強化次數。
是否要重置強化？"	"如果重置强化，
所有强化数值将被重置，同时返还可强化次数。
是否重置强化？"
232	강화 회로 제거	強化回路除去	Remove Upgrade Circuit	清除強化迴路	清除强化电路
233	강화 회로 제거기 부족	強化回路除去機不足	Not enough Upgrade Circuit Removers	強化迴路解除裝置不足	强化电路解除装置不足
234	"강화 회로 제거기가 부족합니다.
(강화 회로 제거를 위해서는 강화 회로 제거기를 구입해야 합니다.)"	"強化回路除去機が不足しています。
 (強化回路除去のためには強化回路除去機を購入する必要があります。)"	"You do not have enough Upgrade Circuit Removers.
(You must buy Upgrade Circuit Removers to remove Upgrade Circuits.)"	"強化迴路解除裝置不足。
（為了解除強化迴路，需要購買強化迴路解除裝置。）"	"你的强化电路解除装置不足。
（为了解除强化电路，需要购买强化电路解除装置。）"
235	강화 포인트 없음	強化ポイント無し	No Upgrade Points	無強化點數	无强化点数
236	모든 강화 가능 포인트를 사용해 더 이상 강화용 캐릭터를 선택할 수 없습니다.	強化ポイントを全て使用したため、これ以上強化用戦闘員を選択できません。	You cannot select any more characters to upgrade since you have used all your Upgrade Points.	強化點數已用盡，無法選擇強化用角色。	强化点数已用尽，无法选择强化用角色。
237	강화 포인트 초과	強化ポイント超過	Upgrade Points Exceeded	超出強化點數	超出强化点数
238	최대 강화 포인트를 초과해 해당 캐릭터를 재료로 사용할 수 없습니다.	最大強化ポイントを超過したため該当の戦闘員を材料として使用できません。	You cannot use the selected character as material since the maximum Upgrade Points has been exceeded.	已超過最大強化點數，無法將此角色用作材料。	已超过最大强化点数，无法将此角色用作材料。
239	전투원 수복	戦闘員修復	Soldier Recovery	修復戰鬥員	修复战斗员
240	쾌속 수복	快速修復	Rapid Recovery	快速修復	快速修复
241	수복할 전투원을 지정하세요.	修復する戦闘員を指定してください。	Select the soldier you want to heal.	請指定要修復的戰鬥員。	请指定要修复的战斗员。
242	수복 시설 현황	修復施設の現況	Recovery Facility Status	修復設施現狀	修复设施现状
243	터치하여 슬롯 확장	タップしてスロット拡張	Tap to expand slot	輕觸擴充欄位	轻触扩充栏位
244	즉시 수복	即時修復	Instant Recovery	立即修復	立即修复
245	"즉시 수복을 시행 하시겠습니까?
(즉시 수복에는 쾌속 수복 나노 머신이 필요합니다.)"	"即時修復を実行しますか?
 (即時修復するには快速修復ナノマシーンが必要です。)"	"Do you want to instantly heal the soldier?
(You need Rapid Recovery Nano Machine for instant recovery.)"	"是否確定立即修復？
（需要快速修復奈米機械才能進行立即修復。）"	"是否确定立即修复？
（立即修复需要快速修复纳米机械。）"
246	쾌속 수복 나노 머신 부족!	快速修復ナノマシーン不足！	Not enough Rapid Recovery Nano Machines!	快速修復奈米機械不足！	快速修复纳米机械不足！
247	"쾌속 수복 나노 머신이 부족합니다.
(즉시 수복을 위해서는 해당 아이템을 구입해야 합니다.)"	"快速修復ナノマシーンが不足しています。
 (即時修復するには該当のアイテムを購入する必要があります。)"	"You do not have enough Rapid Recovery Nano Machines.
(You must buy the Nano Machine for instant recovery.)"	"快速修復奈米機械不足。
（為了立即修復，需要購買此道具。）"	"你的快速修复纳米机械不足。
（为了立即修复，需要购买此道具。）"
